,Symbol,Date,Diluted EPS,Total Assets,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Common Stock Equity,Tangible Book Value,Invested Capital,End Cash Position,Financing Cash Flow,Operating Cash Flow,Total Revenue,Diluted Average Shares,Investing Cash Flow,Normalized Income,Tax Effect of Unusual Items,Pretax Income
87,DSPG,12/31/2019,0.0,205925.0,52831.0,153094.0,153094.0,146190.0,153094.0,28737.0,1351.0,10472.0,117613.0,22827.0,4275.0,-622.79,-209.79,-2750.0
88,EBON,12/31/2019,0.0,82611.0,57040.0,25571.0,17979.0,14195.0,40476.0,5778.0,8548.0,-13260.0,109060.0,131035.0,-5809.0,-46674.0,1423.0,-40673.0
89,EGAN,6/30/2020,0.0,93705.0,59064.0,34641.0,34641.0,21429.0,34641.0,46615.0,1410.0,14058.0,72729.0,31956.0,-514.0,7208.0,0.0,7986.0
90,EIGI,12/31/2019,0.0,2584086.0,2387132.0,196954.0,196954.0,-1883358.0,1878427.0,112997.0,-141638.0,161973.0,1113278.0,145260.0,3000.0,-32936.0,7615.0,5532.0
91,ELTK,12/31/2019,0.0,22829.0,16560.0,6269.0,6269.0,6269.0,12248.0,1628.0,-1132.0,2578.0,34794.0,3734.0,-806.0,1894.0,-4.3235,1870.0
92,EMKR,9/30/2019,-0.0013,109562.0,32816.0,76746.0,76746.0,76438.0,82243.0,21977.0,5799.0,-15151.0,87265.0,27983.0,-31803.0,-35893.0,-33.75,-35930.0
93,ENPH,12/31/2019,0.0012,713223.0,441011.0,272212.0,272212.0,216850.0,377755.0,296109.0,65850.0,139067.0,624333.0,131644.0,-14788.0,167014.0,-2170.0,90114.0
94,ERII,12/31/2019,0.0,188774.0,52761.0,136013.0,136013.0,123158.0,136013.0,26488.0,5963.0,5268.0,86942.0,56067.0,-6881.0,10913.0,0.0,12256.0
95,EVBG,12/31/2019,-0.0016,837296.0,616984.0,220312.0,220312.0,47504.0,650594.0,539662.0,494101.0,10317.0,200882.0,33162.0,-24574.0,-51224.0,-379.62,-51825.0
96,EVER,12/31/2019,0.0,91221.0,39451.0,51770.0,51770.0,51770.0,51770.0,46304.0,2982.0,4413.0,248811.0,25759.0,-2975.0,-5890.0,0.0,-7117.0
97,MRAM,12/31/2019,0.0,35372.0,16883.0,18489.0,18489.0,18489.0,26308.0,14487.0,85.0,-8116.0,37503.0,17317.0,-861.0,-13887.0,0.0,-14669.0
98,PLUS,3/31/2020,0.0052,909113.0,422968.0,486145.0,486145.0,333584.0,558903.0,86231.0,100634.0,-74174.0,1588404.0,13415.0,-20339.0,69082.0,0.0,95959.0
99,WATT,12/31/2019,-0.0013,24884.0,5871.0,19013.0,19013.0,19013.0,19013.0,21684.0,28395.0,-26621.0,200.143,30263.0,-196.199,-38392.0,0.0,-38399.0
100,EVOL,12/31/2019,0.0,19812.0,10694.0,9118.0,9118.0,5453.0,10817.0,3076.0,-4243.0,1079.0,25750.0,12157.0,-383.0,-4481.0,-1928.0,-8592.0
101,EXTR,6/30/2020,-0.0011,979088.0,973690.0,5398.0,5398.0,-394155.0,416499.0,193872.0,178492.0,35884.0,948019.0,119814.0,-189477.0,-87364.0,-14603.0,-120492.0
102,FB,12/31/2019,0.0064,133376000.0,32322000.0,101054000.0,101054000.0,81445000.0,101331000.0,19279000.0,-7299000.0,36314000.0,70697000.0,2876000.0,-19864000.0,18563225.0,-26775.0,24812000.0
103,FEYE,12/31/2019,-0.0012,2890486.0,2188820.0,701666.0,701666.0,-638046.0,1712227.0,334603.0,26273.0,67537.0,889152.0,207234.0,-169036.0,-249916.0,-2772.0,-251719.0
104,FFIV,9/30/2019,0.0071,3390275.0,1628778.0,1761497.0,1761497.0,587215.0,1761497.0,602254.0,-155447.0,747841.0,2242447.0,60456.0,-414634.0,427734.0,0.0,541111.0
105,FISV,12/31/2019,0.0013,77539000.0,42944000.0,34595000.0,32979000.0,-20701000.0,54494000.0,933000.0,14191000.0,2795000.0,10187000.0,679900.0,-16602000.0,880745.0,2745.0,1083000.0
106,FIVN,12/31/2019,0.0,482380.0,285922.0,196458.0,196458.0,169127.0,406062.0,77976.0,8474.0,51221.0,328006.0,60371.0,-63631.0,-4552.0,0.0,-4448.0
107,FLEX,3/31/2020,0.0,13689617.0,10858464.0,2831153.0,2831153.0,1504182.0,5669392.0,1922686.0,-508460.0,-1533276.0,24209870.0,515171.0,2279030.0,101113.0,-2772.0,158485.0
108,FORM,12/31/2019,0.0,839882.0,198885.0,640997.0,640997.0,384191.0,699482.0,147937.0,-6578.0,121048.0,589464.0,77286.0,-66352.0,39346.0,0.0,51063.0
109,FSLR,12/31/2019,-0.0011,7515689.0,2418922.0,5096767.0,5096767.0,5017762.0,5568464.0,1446510.0,74943.0,174201.0,3063117.0,105310.0,-362298.0,229183.0,-16593.0,-120129.0
110,FTNT,12/31/2019,0.0019,3885500.0,2563600.0,1321900.0,1321900.0,1223600.0,1321900.0,1222500.0,-195600.0,808000.0,2156200.0,175000.0,-502300.0,326500.0,0.0,379200.0
111,GAN,12/31/2019,0.0,26112.0,11010.0,15102.0,15102.0,9938.0,15102.0,10098.0,-535.0,6253.0,29971.0,23420.0,-2900.0,2109.0,-103.0381,2362.0
112,GDRX,12/31/2019,0.0,386796.0,1474378.0,-1087582.0,-1087582.0,-1350252.0,-416660.0,26050.0,-54781.0,83286.0,388224.0,357255.0,-37055.0,69950.0,-975.4,82978.0
113,GDS,12/31/2019,-0.0036,31492531.0,20136969.0,11355562.0,10293581.0,7245926.0,21509445.0,5973262.0,8361939.0,293436.0,4122405.0,137869.0,-5131231.0,-437583.0,-1500.0,-426433.0
114,GLUU,12/31/2019,0.0,418049.0,214962.0,203087.0,203087.0,82102.0,203087.0,127053.0,-443.0,35181.0,411381.0,157383.0,-5438.0,8871.0,0.0,9342.0
115,GRPN,12/31/2019,0.0,1586743.0,1191697.0,395046.0,393936.0,33627.0,608805.0,752657.0,-92619.0,71283.0,2218915.0,28370.0,-67591.0,2375.0,-10115.0,-13531.0
116,GSIT,3/31/2020,0.0,102561.0,12920.0,89641.0,89641.0,79174.0,89641.0,51506.0,3721.0,-4681.0,43343.0,22968.0,9971.0,-10337.0,0.0,-10090.0
117,GSMG,12/31/2019,0.0,79710.0,17454.0,62256.0,61781.0,47098.0,64024.0,2437.0,7693.0,-10586.0,65777.0,49768.0,-153.0,26323.0,0.0,26594.0
