,Diluted Equity,ROA,Total Liabilities Net Minority Interest,Total Equity Gross Minority Interest,Common Stock Equity,Tangible Book Value,Invested Capital,End Cash Position,Financing Cash Flow,Operating Cash Flow,Total Revenue,Investing Cash Flow,Tax Effect of Unusual Items,Pretax Income
395,0.0,-0.01881848499285374,31270.0,10710.0,10675.0,4184.0,27273.0,606.0,6205.0,1777.0,43616.0,-8149.0,0.0,-786.0
396,0.0,-0.6242169760728427,137030.0,38252.0,38252.0,38252.0,118122.0,115723.0,99098.0,-89584.0,48835.0,77934.0,0.0,-108897.0
397,-30.926,-0.2777646695827359,16996.0,93198.0,93198.0,93198.0,93198.0,92117.0,58440.0,-28613.0,13801.0,-1555.0,0.0,-30862.0
398,0.0,-0.12607302571834894,48408.0,9955.0,9955.0,-12894.0,33277.0,11119.0,3455.0,-32894.0,31265.0,21053.0,0.0,-4777.0
399,-25.2052,-1.3143292167146,6532.0,11201.0,11201.0,11201.0,11201.0,9301.0,29663.0,-23049.0,5529.0,-735.3,0.0,-25138.0
400,0.0,-0.26048666471889476,7590.0,88246.0,88246.0,86440.0,88246.0,18584.0,73760.0,-21332.0,26.7938,-45007.0,0.0,-26385.0
401,0.0,-0.008976044762101126,1567658.0,3122381.0,3122381.0,2468762.0,3970501.0,437446.0,-74674.0,48262.0,1704048.0,-31026.0,6750.0,-94811.0
402,0.0,-0.7063950979546043,1349.0,10238.0,10238.0,10238.0,10238.0,9801.0,1770.0,-7535.0,97.0,-94.0,0.0,-8274.0
403,-107.7912,-0.8070928725701944,180803.0,-65053.0,-65053.0,-65053.0,58727.0,72467.0,85214.0,-77058.0,0.0,-7199.0,0.0,-109194.0
404,-39.4336,-0.8546964425990349,13424.0,31131.0,30277.0,30277.0,31742.0,35933.0,80171.0,-48162.0,0.0,-4.0,0.0,-40333.0
405,-262.7475,-0.4118721692505212,157946.0,473733.0,408454.0,408454.0,500245.0,364197.0,398792.0,-253587.0,40560.0,-217253.0,0.0,-288585.0
406,-35.8996,-0.18234941091000978,205452.0,-47157.0,-47157.0,-47157.0,-47157.0,154721.0,127756.0,-24674.0,0.0,-21.0,0.0,-35258.0
